ID,id_conferma,data_consegna,qta_consegna
12648,7497,"01/11/25 00:00:00",25000
12676,7523,"02/24/25 00:00:00",3000
12677,7523,,
12678,7524,"01/25/25 00:00:00",25000
12679,7524,"02/08/25 00:00:00",25000
12680,7524,"03/08/25 00:00:00",25000
12684,7528,"01/17/25 00:00:00",1000
12690,7532,"04/02/25 00:00:00",24000
12692,7535,"01/23/25 00:00:00",3000
12693,7536,"03/10/25 00:00:00",21000
12694,7537,"01/16/25 00:00:00",21000
12695,7538,"01/16/25 00:00:00",21000
12696,7539,"01/15/25 00:00:00",3000
12697,7540,"03/05/25 00:00:00",19500
12698,7541,,
12699,7542,"01/23/25 00:00:00",1800
12700,7544,"02/22/25 00:00:00",25000
12701,7544,"03/22/25 00:00:00",25000
12703,7544,"05/10/25 00:00:00",25000
12704,7544,"04/26/25 00:00:00",25000
12705,7545,"04/04/25 00:00:00",24000
12706,7546,"02/10/25 00:00:00",24000
12707,7547,"02/03/25 00:00:00",3200
12708,7548,"02/12/25 00:00:00",1000
12709,7550,"01/27/25 00:00:00",25000
12710,7550,"02/03/25 00:00:00",25000
12711,7550,"02/10/25 00:00:00",25000
12712,7550,"02/17/25 00:00:00",25000
12713,7550,,
12714,7550,,
12715,7550,,
12716,7550,,
12717,7550,,
12718,7550,,
12719,7544,"02/15/25 00:00:00",25000
12720,7551,"02/12/25 00:00:00",30000
12721,7551,"02/13/25 00:00:00",30000
12723,7554,"03/26/25 00:00:00",24000
12724,7544,"03/01/25 00:00:00",25000
12725,7555,"03/24/25 00:00:00",24000
12726,7555,"04/28/25 00:00:00",24000
12727,7556,"03/12/25 00:00:00",23000
12728,7557,"03/31/25 00:00:00",22000
12729,7558,"03/10/25 00:00:00",5000
12730,7532,"05/08/25 00:00:00",24000
12731,7559,"03/13/25 00:00:00",2400
12732,7561,"05/26/25 00:00:00",24000
12733,7561,"06/13/25 00:00:00",24000
12734,7561,"06/27/25 00:00:00",24000
12735,7562,"06/09/25 00:00:00",24000
12736,7566,"03/19/25 00:00:00",8000
12737,7567,"03/27/25 00:00:00",4544
12738,7568,"03/29/25 00:00:00",25000
12739,7568,"05/03/25 00:00:00",25000
12740,7568,"05/17/25 00:00:00",25000
12741,7568,"05/31/25 00:00:00",25000
12742,7568,"06/14/25 00:00:00",25000
12743,7568,"06/21/25 00:00:00",25000
12744,7568,,
12745,7569,"03/28/25 00:00:00",22000
12746,7570,"03/31/25 00:00:00",22000
12747,7571,"04/07/25 00:00:00",25000
12748,7572,"04/09/25 00:00:00",25000
12749,7572,"04/10/25 00:00:00",25000
12750,7572,"04/11/25 00:00:00",25000
12751,7572,"04/12/25 00:00:00",25000
12752,7572,"04/13/25 00:00:00",25000
12753,7573,"04/11/25 00:00:00",4800
12754,7574,"04/17/25 00:00:00",1800
12755,7574,"04/24/25 00:00:00",2400
12756,7574,"04/10/25 00:00:00",1200
12757,7574,"05/02/25 00:00:00",4200
12758,7574,"05/08/25 00:00:00",4200
12759,7574,"05/15/25 00:00:00",4200
12760,7575,"04/14/25 00:00:00",25000
12761,7575,"04/16/25 00:00:00",25000
12763,7576,"06/26/25 00:00:00",24000
12764,7575,"04/15/25 00:00:00",25000
12765,7575,"04/14/25 00:00:00",25000
12766,7574,"05/22/25 00:00:00",4200
12767,7574,"05/29/25 00:00:00",3000
12768,7577,"04/22/25 00:00:00",50000
12769,7577,"04/24/25 00:00:00",50000
12770,7577,"04/26/25 00:00:00",50000
12771,7577,"04/27/25 00:00:00",50000
12772,7578,"04/30/25 00:00:00",4800
12773,7579,"05/28/25 00:00:00",24000
12774,7579,"06/16/25 00:00:00",24000
12775,7579,"06/30/25 00:00:00",24000
12776,7580,"05/09/25 00:00:00",21000
12777,7581,"06/05/25 00:00:00",1000
12778,7585,"05/09/25 00:00:00",1000
12779,7586,"05/30/25 00:00:00",22000
12780,7588,"05/09/25 00:00:00",324
12781,7589,"05/19/25 00:00:00",4800
12782,7591,"05/28/25 00:00:00",10500
12783,7592,"06/05/25 00:00:00",3000
12784,7592,"06/12/25 00:00:00",1800
12785,7592,"07/03/25 00:00:00",1800
12786,7592,"07/10/25 00:00:00",1200
12787,7593,"07/15/25 00:00:00",24000
12788,7594,"05/29/25 00:00:00",900
12789,7595,"06/16/25 00:00:00",22000
12790,7596,"06/05/25 00:00:00",22000
12791,7597,,
12792,7598,"06/02/25 00:00:00",25000
12793,7598,"06/03/25 00:00:00",25000
12794,7598,"06/04/25 00:00:00",50000
12795,7599,,
12796,7600,"06/10/25 00:00:00",22000
12797,7593,"07/30/25 00:00:00",24000
12798,7598,"06/05/25 00:00:00",25000
12799,7598,"06/06/25 00:00:00",25000
12800,7598,"06/07/25 00:00:00",25000
12801,7598,"06/08/25 00:00:00",25000
12802,7598,,
12803,7602,"06/13/25 00:00:00",5000
12804,7603,"07/10/25 00:00:00",1000
12805,7592,"07/17/25 00:00:00",1200
12806,7592,"07/24/25 00:00:00",1200
12807,7592,"07/31/25 00:00:00",1200
12808,7604,"07/16/25 00:00:00",22000
12809,7579,,
12810,7605,"06/14/25 00:00:00",25000
12811,7605,"06/15/25 00:00:00",25000
12812,7605,"06/17/25 00:00:00",25000
12813,7608,"06/20/25 00:00:00",22000
12814,7609,"09/08/25 00:00:00",120
12815,7605,"06/19/25 00:00:00",25000
12816,7605,"06/21/25 00:00:00",25000
12817,7605,"06/23/25 00:00:00",25000
12818,7605,"06/25/25 00:00:00",25000
12819,7605,"06/27/25 00:00:00",25000
12820,7610,"06/19/25 00:00:00",22000
12821,7611,"08/01/25 00:00:00",12000
12822,7612,"06/27/25 00:00:00",1100
12823,7615,"06/30/25 00:00:00",19000
12824,7615,"07/01/25 00:00:00",38000
12825,7615,,
12826,7618,"10/07/25 00:00:00",24000
12827,7618,"11/10/25 00:00:00",24000
12828,7618,"12/04/25 00:00:00",24000
12829,7618,"12/17/25 00:00:00",24000
12830,7619,"07/04/25 00:00:00",5000
12831,7620,"09/20/25 00:00:00",600
12832,7621,"07/31/25 00:00:00",24000
12833,7621,"09/04/25 00:00:00",24000
12834,7621,"10/09/25 00:00:00",24000
12835,7621,"10/23/25 00:00:00",24000
12836,7622,"08/07/25 00:00:00",1800
12837,7622,"08/21/25 00:00:00",1200
12838,7622,"08/28/25 00:00:00",1200
12839,7624,"07/28/25 00:00:00",21000
12840,7625,"07/28/25 00:00:00",7000
12841,7626,"09/15/25 00:00:00",900
12842,7627,,
12843,7620,,
12844,7628,"08/26/25 00:00:00",5280
12845,7629,"08/25/25 00:00:00",4800
12846,7630,"08/20/25 00:00:00",4000
12847,7634,"09/02/25 00:00:00",21000
12848,7635,"09/04/25 00:00:00",1200
12849,7635,"09/11/25 00:00:00",2400
12850,7635,"09/18/25 00:00:00",1200
12851,7635,"09/25/25 00:00:00",1200
12852,7635,"10/02/25 00:00:00",1800
12853,7636,"09/15/25 00:00:00",4800
12854,7637,"10/08/25 00:00:00",2000
12855,7640,"09/22/25 00:00:00",2400
12856,7642,"09/15/25 00:00:00",1000
12857,7643,"09/23/25 00:00:00",24000
12858,7643,"10/13/25 00:00:00",24000
12859,7644,"10/27/25 00:00:00",24000
12860,7645,"10/09/25 00:00:00",1800
12861,7645,"10/16/25 00:00:00",1200
12862,7645,"10/23/25 00:00:00",1800
12863,7645,"10/30/25 00:00:00",1200
12864,7647,"09/29/25 00:00:00",25000
12865,7647,"10/06/25 00:00:00",25000
12866,7648,"10/06/25 00:00:00",5600
12867,7649,"10/13/25 00:00:00",25000
12868,7651,"10/02/25 00:00:00",100
