ID_fat_studio_det,id_fatt_studio,articolo,qta,prezzo,data_consegna
117,119,38,25080,0.2700,"05/08/16 00:00:00"
118,120,14,1184,10.8500,"05/11/16 00:00:00"
119,121,37,23040,0.4000,"05/15/16 00:00:00"
120,122,38,25956,0.2000,"05/10/16 00:00:00"
121,123,37,25534,0.5100,"05/16/16 00:00:00"
122,124,38,24990,0.2700,"05/15/16 00:00:00"
123,125,38,24110,0.2700,"05/22/16 00:00:00"
124,126,33,1000,5.5700,"05/25/16 00:00:00"
125,127,45,1000,4.2500,"05/27/16 00:00:00"
126,128,38,25523,0.2000,"05/24/16 00:00:00"
127,129,38,24710,0.2700,"05/29/16 00:00:00"
128,130,14,1949,10.8500,"05/30/16 00:00:00"
129,131,45,1000,4.3000,"06/03/16 00:00:00"
130,132,150,2087,13.5000,"06/08/16 00:00:00"
131,133,38,25250,0.2850,"06/05/16 00:00:00"
132,134,37,25430,0.5100,"06/05/16 00:00:00"
133,135,8,25690,0.4050,"06/08/16 00:00:00"
134,136,37,2800,0.6100,"06/09/16 00:00:00"
135,137,45,1000,4.2800,"06/13/16 00:00:00"
136,138,38,24110,0.2850,"06/12/16 00:00:00"
137,139,8,24980,0.3500,"06/13/16 00:00:00"
138,140,8,25480,0.3500,"06/14/16 00:00:00"
139,141,150,1125,13.7000,"06/23/16 00:00:00"
140,142,38,29860,0.3050,"06/20/16 00:00:00"
141,143,38,30240,0.3050,"06/21/16 00:00:00"
142,144,38,24380,0.2850,"06/19/16 00:00:00"
143,145,38,29920,0.3050,"06/22/16 00:00:00"
144,146,45,1000,4.3500,"06/22/16 00:00:00"
145,147,45,800,4.3700,"06/27/16 00:00:00"
146,148,38,24960,0.2850,"06/26/16 00:00:00"
147,149,8,24730,0.4200,"06/27/16 00:00:00"
148,150,14,906,9.6000,"07/04/16 00:00:00"
149,151,14,1883,10.5000,"07/05/16 00:00:00"
150,152,8,24860,0.4400,"07/05/16 00:00:00"
151,153,45,1000,4.3700,"07/12/16 00:00:00"
152,154,8,26050,0.4400,"07/09/16 00:00:00"
153,155,8,25320,0.4400,"07/12/16 00:00:00"
154,156,45,1000,4.3700,"07/15/16 00:00:00"
155,157,14,1569,9.3000,"07/18/16 00:00:00"
156,158,105,425,9.7000,"07/18/16 00:00:00"
157,159,37,25120,0.4900,"07/18/16 00:00:00"
158,160,8,25715,0.4400,"07/16/16 00:00:00"
159,161,8,25675,0.4400,"07/19/16 00:00:00"
160,162,8,25725,0.4400,"07/23/16 00:00:00"
161,2,,,,
162,163,8,26344,0.4400,"07/26/16 00:00:00"
163,164,8,25775,0.4400,"07/30/16 00:00:00"
164,165,37,24160,0.4600,"08/01/16 00:00:00"
165,166,8,24820,0.4650,"08/03/16 00:00:00"
166,167,37,24360,0.5050,"08/08/16 00:00:00"
167,168,14,1863,9.3000,"08/16/16 00:00:00"
168,169,8,24050,0.4650,"08/17/16 00:00:00"
169,170,37,23720,0.4600,"08/22/16 00:00:00"
170,171,45,1000,4.3700,"08/29/16 00:00:00"
171,172,150,2984,13.6000,"08/29/16 00:00:00"
172,173,37,22760,0.4600,"08/29/16 00:00:00"
173,174,37,22460,0.4600,"09/05/16 00:00:00"
174,175,14,857,10.5000,"09/09/16 00:00:00"
175,176,139,784,10.4000,"09/15/16 00:00:00"
176,177,8,26350,0.5000,"09/12/16 00:00:00"
177,178,37,23210,0.4600,"09/12/16 00:00:00"
178,179,45,1000,4.3700,"09/19/16 00:00:00"
179,180,37,24090,0.4600,"09/19/16 00:00:00"
180,181,8,22660,0.5000,"09/19/16 00:00:00"
181,182,45,2400,4.0000,"09/22/16 00:00:00"
182,183,37,23210,0.4600,"09/26/16 00:00:00"
183,184,33,1000,5.4000,"09/27/16 00:00:00"
184,185,8,24750,0.5000,"09/26/16 00:00:00"
185,186,37,22710,0.5100,"10/03/16 00:00:00"
186,187,150,100,13.0000,"10/07/16 00:00:00"
188,189,,1125,1.2700,"10/11/16 00:00:00"
189,190,58,3950,7.0500,"10/12/16 00:00:00"
190,191,37,23510,0.5100,"10/10/16 00:00:00"
191,192,45,1000,4.4500,"10/13/16 00:00:00"
192,193,70,1000,7.3000,"10/19/16 00:00:00"
193,194,37,16100,0.5700,"10/12/16 00:00:00"
194,195,37,22890,0.5100,"10/17/16 00:00:00"
195,196,45,2400,4.0000,"10/18/16 00:00:00"
196,197,37,21120,0.5900,"10/18/16 00:00:00"
197,198,37,25100,0.6550,"10/19/16 00:00:00"
198,199,37,25270,0.5100,"10/24/16 00:00:00"
199,200,37,21600,0.6100,"10/26/16 00:00:00"
200,201,46,700,4.4000,"10/31/16 00:00:00"
201,202,33,1000,5.8000,"11/02/16 00:00:00"
202,203,150,977,13.7000,"11/07/16 00:00:00"
203,204,37,23750,0.5400,"11/07/16 00:00:00"
204,205,33,1000,5.6600,"11/07/16 00:00:00"
205,206,37,23170,0.5400,"11/14/16 00:00:00"
206,207,37,22490,0.5400,"11/21/16 00:00:00"
207,208,150,1516,13.6000,"11/22/16 00:00:00"
208,209,37,23330,0.5400,"11/28/16 00:00:00"
209,210,33,1000,5.7600,"11/29/16 00:00:00"
210,211,37,23090,0.5500,"12/02/16 00:00:00"
211,212,170,250,1.3200,"12/01/16 00:00:00"
212,213,37,19940,0.6150,"12/06/16 00:00:00"
213,214,37,19870,0.6200,"12/07/16 00:00:00"
214,215,172,24940,0.3150,"12/09/16 00:00:00"
215,216,37,24800,0.5500,"12/12/16 00:00:00"
216,217,16,2026,5.2000,"12/05/16 00:00:00"
217,218,37,24720,0.5500,"12/19/16 00:00:00"
218,219,37,24740,0.5500,"12/26/16 00:00:00"
220,221,38,24420,0.4400,"01/07/17 00:00:00"
221,222,33,1000,5.7900,"01/17/17 00:00:00"
222,223,33,1000,5.8000,"01/18/17 00:00:00"
224,225,38,25240,0.4400,"01/14/17 00:00:00"
225,226,45,24000,4.2000,"01/26/17 00:00:00"
226,227,58,1000,7.0500,"01/24/17 00:00:00"
227,228,38,25560,0.4400,"01/21/17 00:00:00"
228,229,38,25700,0.4400,"01/28/17 00:00:00"
229,230,59,1200,6.1000,"02/02/17 00:00:00"
230,231,46,100,4.4000,"02/06/17 00:00:00"
231,232,33,1000,5.8000,"02/07/17 00:00:00"
232,233,172,25235,0.3200,"02/03/17 00:00:00"
233,234,38,25500,0.4400,"02/04/17 00:00:00"
234,235,45,23925,4.1700,"02/09/17 00:00:00"
235,236,172,24500,0.3200,"02/08/17 00:00:00"
236,237,45,2000,4.5000,"02/14/17 00:00:00"
237,238,38,25180,0.4350,"02/11/17 00:00:00"
238,239,150,1946,12.5000,"02/17/17 00:00:00"
239,240,37,25580,0.5800,"02/15/17 00:00:00"
240,241,172,24880,0.3200,"02/17/17 00:00:00"
241,242,38,25000,0.4350,"02/18/17 00:00:00"
242,243,46,125,4.4000,"02/27/17 00:00:00"
243,244,172,25200,0.3200,"02/23/17 00:00:00"
244,245,38,25620,0.4350,"02/25/17 00:00:00"
245,246,70,1000,7.5400,"03/02/17 00:00:00"
246,247,159,22500,1.2800,"03/03/17 00:00:00"
247,248,150,2292,12.7000,"03/13/17 00:00:00"
248,249,37,2320,0.5700,"03/09/17 00:00:00"
249,250,45,3000,4.8000,"03/13/17 00:00:00"
250,251,37,5075,0.5700,"03/23/17 00:00:00"
251,252,33,1000,5.8700,"03/28/17 00:00:00"
252,253,159,22500,1.2800,"03/31/17 00:00:00"
253,254,33,1000,6.0000,"04/10/17 00:00:00"
254,255,37,6260,0.5700,"04/10/17 00:00:00"
255,256,37,5960,0.5700,"04/13/17 00:00:00"
256,257,37,5200,0.5700,"04/17/17 00:00:00"
257,258,150,1474,12.7000,"04/21/17 00:00:00"
258,259,37,6340,0.5700,"04/20/17 00:00:00"
259,260,37,6400,0.5700,"04/24/17 00:00:00"
260,261,150,2056,12.7000,"04/28/17 00:00:00"
261,262,45,350,5.0500,"04/28/17 00:00:00"
262,263,37,6300,0.5700,"04/27/17 00:00:00"
263,264,37,6140,0.5700,"05/01/17 00:00:00"
264,265,8,26390,0.4500,"05/03/17 00:00:00"
265,266,37,6400,0.5700,"05/04/17 00:00:00"
266,267,150,1923,12.7000,"05/10/17 00:00:00"
267,268,37,5520,0.5700,"05/08/17 00:00:00"
268,269,45,23925,4.1700,"05/11/17 00:00:00"
269,270,8,25960,0.4500,"05/09/17 00:00:00"
270,271,37,5860,0.5700,"05/11/17 00:00:00"
271,272,33,1000,5.9800,"05/15/17 00:00:00"
272,273,37,6140,0.5700,"05/15/17 00:00:00"
273,274,8,26280,0.4500,"05/15/17 00:00:00"
274,275,150,1342,12.7000,"05/18/17 00:00:00"
275,276,8,26420,0.4500,"05/16/17 00:00:00"
276,277,37,5520,0.5700,"05/18/17 00:00:00"
277,278,37,5500,0.5700,"05/22/17 00:00:00"
278,279,179,100,490.0000,"05/24/17 00:00:00"
279,280,8,26330,0.4500,"05/23/17 00:00:00"
280,281,45,1000,4.6500,"05/26/17 00:00:00"
281,282,8,24690,0.4500,"05/24/17 00:00:00"
282,283,33,1000,6.0900,"05/29/17 00:00:00"
283,284,37,5380,0.5700,"05/25/17 00:00:00"
284,285,37,6460,0.5700,"05/29/17 00:00:00"
285,286,8,26290,0.4500,"05/30/17 00:00:00"
286,287,37,3920,0.5700,"06/01/17 00:00:00"
287,288,37,4920,0.5700,"06/05/17 00:00:00"
288,289,8,26900,0.4500,"06/06/17 00:00:00"
289,290,37,5600,0.5700,"06/08/17 00:00:00"
290,291,150,2142,12.7000,"06/12/17 00:00:00"
291,292,59,750,5.6000,"06/13/17 00:00:00"
292,293,37,5540,0.5700,"06/12/17 00:00:00"
293,294,8,25181,0.4500,"06/13/17 00:00:00"
294,295,37,5680,0.5700,"06/15/17 00:00:00"
295,296,59,750,5.6000,"06/16/17 00:00:00"
296,297,37,5240,0.5700,"06/19/17 00:00:00"
297,298,8,25650,0.4500,"06/20/17 00:00:00"
298,299,37,5300,0.5700,"06/22/17 00:00:00"
299,300,8,26010,0.4500,"06/27/17 00:00:00"
300,301,37,5900,0.5700,"06/29/17 00:00:00"
301,302,37,5680,0.5700,"07/03/17 00:00:00"
302,303,8,23720,0.4500,"07/04/17 00:00:00"
303,304,37,5600,0.5700,"07/06/17 00:00:00"
304,305,150,2142,12.7000,"07/10/17 00:00:00"
305,306,150,2003,12.7000,"07/10/17 00:00:00"
306,307,37,5700,0.5700,"07/10/17 00:00:00"
307,308,8,25650,0.4500,"07/11/17 00:00:00"
308,309,37,5760,0.5700,"07/13/17 00:00:00"
309,310,46,200,5.1000,"07/17/17 00:00:00"
310,311,37,6100,0.5700,"07/17/17 00:00:00"
311,312,8,26520,0.4500,"07/18/17 00:00:00"
312,313,37,6400,0.5700,"07/20/17 00:00:00"
313,314,33,1000,7.2800,"07/26/17 00:00:00"
314,315,37,6380,0.5700,"07/24/17 00:00:00"
315,316,8,25610,0.4500,"07/25/17 00:00:00"
316,317,37,6160,0.5700,"07/27/17 00:00:00"
317,318,37,6300,0.5700,"07/31/17 00:00:00"
318,319,70,1600,8.4000,"08/01/17 00:00:00"
319,320,8,26273,0.4650,"08/01/17 00:00:00"
320,321,37,6360,0.5700,"08/03/17 00:00:00"
321,322,33,1000,7.2800,"08/08/17 00:00:00"
322,323,150,2004,12.7000,"08/08/17 00:00:00"
323,324,37,6080,0.5700,"08/07/17 00:00:00"
324,325,46,650,5.1000,"08/10/17 00:00:00"
325,326,37,5680,0.5700,"08/10/17 00:00:00"
326,327,37,6320,0.5700,"08/14/17 00:00:00"
328,329,37,5240,0.5700,"08/21/17 00:00:00"
329,330,150,3069,12.7000,"08/23/17 00:00:00"
330,331,33,300,7.9200,"08/24/17 00:00:00"
331,332,8,26270,0.4650,"08/22/17 00:00:00"
332,333,37,5320,0.5700,"08/24/17 00:00:00"
333,334,46,100,5.1000,"08/28/17 00:00:00"
334,335,37,5120,0.5700,"08/28/17 00:00:00"
335,336,8,24660,0.4650,"08/29/17 00:00:00"
336,337,37,5860,0.5700,"08/31/17 00:00:00"
337,338,45,700,4.7000,"09/04/17 00:00:00"
338,339,37,5680,0.5700,"09/04/17 00:00:00"
339,340,150,1992,12.7000,"09/07/17 00:00:00"
340,341,150,1911,12.7000,"09/07/17 00:00:00"
2,2,45,2000,4.1500,"12/16/14 00:00:00"
3,3,45,24400,3.3000,"01/08/15 00:00:00"
6,6,70,500,7.6000,"02/09/15 00:00:00"
7,8,145,449,10.5000,"02/05/15 00:00:00"
8,9,33,1000,5.7000,"02/09/15 00:00:00"
9,10,33,2000,5.6500,"02/09/15 00:00:00"
10,11,145,400,10.6000,"02/23/15 00:00:00"
11,12,70,500,7.6000,"02/24/15 00:00:00"
12,13,145,390,10.6000,"02/26/15 00:00:00"
13,14,59,1000,6.8500,"03/05/15 00:00:00"
14,15,37,15800,0.6000,"03/04/15 00:00:00"
15,16,33,2000,5.6400,"03/16/15 00:00:00"
16,17,145,708,10.8000,"03/17/15 00:00:00"
17,18,145,700,10.8000,"03/26/15 00:00:00"
18,19,37,11840,0.5850,"03/24/15 00:00:00"
19,20,33,1000,5.6500,"03/31/15 00:00:00"
20,21,139,800,9.1000,"04/01/15 00:00:00"
21,22,145,393,10.8000,"04/02/15 00:00:00"
22,23,145,1227,10.8000,"04/10/15 00:00:00"
23,24,145,1196,10.8000,"04/17/15 00:00:00"
24,25,139,502,9.2000,"04/23/15 00:00:00"
25,26,33,1000,6.0000,"05/12/15 00:00:00"
26,27,33,2000,5.7500,"05/21/15 00:00:00"
27,28,45,22150,3.5200,"05/21/15 00:00:00"
28,29,45,1000,4.2500,"05/21/15 00:00:00"
29,30,37,9740,0.5900,"05/27/15 00:00:00"
30,31,139,832,10.0000,"06/05/15 00:00:00"
31,32,37,20380,0.5800,"06/05/15 00:00:00"
32,33,14,551,7.9000,"06/15/15 00:00:00"
33,34,33,2000,5.7500,"06/22/15 00:00:00"
34,35,145,379,10.5000,"06/25/15 00:00:00"
35,36,45,1000,4.2800,"06/25/15 00:00:00"
36,37,139,996,10.0000,"07/10/15 00:00:00"
37,38,145,513,10.5000,"07/13/15 00:00:00"
38,39,33,2000,5.7500,"07/14/15 00:00:00"
39,40,14,2055,8.0000,"07/21/15 00:00:00"
40,41,145,541,10.5000,"07/24/15 00:00:00"
41,42,14,811,8.1000,"07/27/15 00:00:00"
42,43,145,546,10.5000,"07/31/15 00:00:00"
43,43,,,,
44,44,145,677,10.5000,"08/14/15 00:00:00"
45,45,14,4449,8.0000,"08/19/15 00:00:00"
46,46,145,660,10.5000,"08/21/15 00:00:00"
47,47,14,3002,7.7500,"08/28/15 00:00:00"
48,48,70,700,7.9000,"08/24/15 00:00:00"
49,49,145,626,10.5000,"08/28/15 00:00:00"
50,50,37,24920,0.5600,"09/10/15 00:00:00"
51,51,150,669,15.6000,"09/14/15 00:00:00"
52,52,139,942,10.0000,"09/28/15 00:00:00"
53,53,37,21280,0.5600,"09/20/15 00:00:00"
54,54,33,50,7.0500,"09/30/15 00:00:00"
55,55,37,9425,0.7500,"09/21/15 00:00:00"
56,56,37,16090,0.7200,"09/25/15 00:00:00"
57,57,37,24230,0.5600,"09/27/15 00:00:00"
58,58,37,20990,0.7200,"09/29/15 00:00:00"
59,59,59,1000,6.8500,"10/02/15 00:00:00"
60,60,45,1000,4.1500,"10/12/15 00:00:00"
61,61,37,15575,0.7600,"10/07/15 00:00:00"
62,62,139,695,10.0000,"10/14/15 00:00:00"
63,63,37,20300,0.7200,"10/09/15 00:00:00"
64,64,37,15450,0.7500,"10/14/15 00:00:00"
65,65,79,623,8.4500,"10/15/15 00:00:00"
66,66,150,1360,15.6000,"10/20/15 00:00:00"
67,67,139,1531,10.0000,"10/20/15 00:00:00"
68,68,37,20865,0.7300,"10/20/15 00:00:00"
69,69,37,15480,0.7500,"10/21/15 00:00:00"
70,70,70,400,7.5000,"10/26/15 00:00:00"
71,71,33,1000,5.6500,"10/27/15 00:00:00"
72,72,37,15720,0.7786,"10/27/15 00:00:00"
73,73,45,1000,4.2000,"11/04/15 00:00:00"
74,74,154,608,13.5400,"11/05/15 00:00:00"
75,75,154,300,13.4800,"12/10/15 00:00:00"
76,76,150,300,16.2300,"12/10/15 00:00:00"
77,77,37,19480,0.4700,"12/20/15 00:00:00"
80,82,37,10420,0.6000,"01/18/16 00:00:00"
81,83,45,2000,4.1500,"01/26/16 00:00:00"
82,84,139,1392,9.1000,"02/01/16 00:00:00"
83,85,45,1000,4.2000,"02/09/16 00:00:00"
84,86,37,23800,0.5500,"02/08/16 00:00:00"
85,87,70,300,7.6000,"02/15/16 00:00:00"
87,89,139,1622,9.1000,"02/17/16 00:00:00"
89,91,38,25760,0.2700,"02/23/16 00:00:00"
90,92,139,3777,9.1000,"02/26/16 00:00:00"
91,93,37,24090,0.5300,"02/25/16 00:00:00"
92,94,70,280,8.7000,"03/02/16 00:00:00"
93,95,38,25120,0.2700,"03/06/16 00:00:00"
94,96,37,21310,0.5250,"03/10/16 00:00:00"
95,97,37,25380,0.5550,"03/14/16 00:00:00"
96,98,38,25130,0.2700,"03/13/16 00:00:00"
97,99,37,14230,0.5300,"03/16/16 00:00:00"
98,100,38,24940,0.2700,"03/20/16 00:00:00"
99,101,45,1000,4.1500,"03/22/16 00:00:00"
100,102,38,23260,0.2700,"03/27/16 00:00:00"
101,103,59,1000,5.8800,"04/01/16 00:00:00"
102,104,38,23990,0.2700,"04/03/16 00:00:00"
103,105,37,3000,0.6400,"04/27/16 00:00:00"
104,106,37,24660,0.5300,"04/11/16 00:00:00"
105,107,38,26240,0.2700,"04/10/16 00:00:00"
106,108,38,5780,0.5800,"04/14/16 00:00:00"
